MJ03,MJ06,MJ05,JAAC001,JAAC002,JAAC003,JAAC004,JAAC005,JAAC007,JAAC008,JAAC009,JAAC010,JAAC011,JAAC012,JAAC013,JAAC014,JAAC020,JAAC021,JAAC022,JAAC023,JAAC024,JAAC025,JAAC026,JAAC027,MJ07
40800063,1,2,2,26,1,1,21, , , , , ,3,3,2,2,3,      ,0,6,3,6,7,
50100527,0,1,1,          , ,  ,1, , , , , ,4,4, , , ,      ,0, , ,6,7,1
50100527,1,2,2,39,1,1,1, , , , , ,4,4, ,7,1,200011,1,5,3,6,7,
50100527,1,3,2,44,2,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
50100527,1,4,2,27,2,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
50100530,1,1,1,36,1,1,1, , , , , ,4,4, ,1,1,200606,1,5,3,6,7,1
50100530,1,3,2,26,2,1,22, , , , , ,3,3,2,2,3,      ,0,6,3,6,7,
50100530,2,2,2,77,1,1,1, , , , , ,4,4, ,1,1,198108,1,5,3,6,7,
50100534,1,1,1,35,1,1,1, , , , , ,4,4, ,1,1,200305,1,5,3,6,7,1
50100534,2,2,2,36,1,1,1, , , , , ,2,2,2,3,1,201702,1,5,3,6,7,
50100537,1,1,1,39,1,1,1, , , , , ,4,4, ,1,1,200804,1,5,3,6,7,1
50100537,2,2,2,60,1,1,1, , , , , ,2,2,2,7,3,      ,0,5,3,6,7,
50100539,1,1,1,52,1,1,1, , , , , ,4,4,1,1,1,198505,1,5,3,6,7,1
50100539,2,2,2,7,1,1,1, , , , , ,3,3,2,7,3,      ,0,5,3,6,7,
50100542,1,1,1,24,1,1,3, , , , , ,3,3,2,7,3,      ,0,3,3,1,7,1
50100542,1,2,2,39,1,1,1, , , , , ,4,4, ,7,1,199512,1,5,3,6,7,
50100544,1,1,1,50,1,1,1, , , , , ,2,2,2,3,1,198205,1,4,3,6,7,1
50100546,1,1,1,73,1,1,1, , , , , ,4,4, ,1,1,196307,1,5,3,6,7,1
50100546,2,2,2,50,1,1,1, , , , , ,3,3,2,3,3,      ,0,5,3,6,7,
50100561,1,1,1,28,1,1,1, , , , , ,4,4, ,1,1,200701,1,5,3,6,7,1
50100561,1,2,2,12,1,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,1,7,
50100566,1,1,1,41,1,1,1, , , , , ,4,4, ,1,1,200105,1,5,3,6,7,1
50100566,2,2,2,32,1,1,1, , , , , ,3,3,2,1,1,200907,1,5,3,6,7,
50100566,2,3,2,36,1,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100566,2,4,2,42,1,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100566,2,5,2,27,1,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100569,1,1,1,30,2,1,1, , , , , ,3,3,2,1,1,200707,1,5,3,6,7,1
50100571,1,1,1,39,1,1,1, , , , , ,3,3,2,1,1,199607,1,5,3,6,7,1
